m2id,big5_item_n,big5_item_e,big5_item_o,big5_item_c,big5_item_a,big5_scale_neuroticism,big5_scale_extraversion,big5_scale_openness,big5_scale_conscientiousness,big5_scale_agreeableness
10047,1.4285714285714286,2.3333333333333335,1.840840909090909,1,3.230769230769231,3.2,3,1.75,4,2.42857142857141
10049,,,,,,,,,,
10050,0.7333333333333333,2.5,1.959642,1,4.769230769230769,3.8,2.6,3.25,4,3.57142857142859
10051,0,2.125,1.4210941666666668,2,4.6923076923076925,3.6,2.8,2.25,3,2.85714285714286
10052,1.6428571428571428,2.25,1.6797336363636364,2,4.076923076923077,3.4,2.6,2.25,3,2.71428571428573
10053,1,2.375,6.489564166666667,2.25,4.153846153846154,2.8,2.4,2.25,2.75,3.14285714285714
10055,0.6428571428571429,1.25,10.594306666666666,1.75,4.769230769230769,3.8,3.6,2.25,3.25,3.71428571428573
10056,,,,,,,,,,
10059,1.3571428571428572,1.6666666666666667,2.29574,1.5,4.846153846153846,3.8,3.4,1.5,3.5,3
10060,1.0714285714285714,1.625,1.414061818181818,1.25,4,4,3.2,2,3.75,3.71428571428573
10061,1.3571428571428572,1.75,2.316119,2,4.615384615384615,2.8,3,1.25,3,2.85714285714286
10062,0.8666666666666667,1.7777777777777777,0.7565083333333333,1.5,4.846153846153846,3.8,3.4,3,3.5,3.85714285714286
10063,0.5714285714285714,1.8888888888888888,4.459396363636364,1,5.538461538461538,3,3.2,1.75,4,3.85714285714286
10065,1.7857142857142858,2.111111111111111,1.5983783333333332,1,4.615384615384615,4,3.2,1,4,3
10066,0.5333333333333333,1.1111111111111112,2.046270909090909,1.75,4.923076923076923,3.8,3.8,3.25,3.25,2.71428571428573
10067,1.0714285714285714,2.5,1.6126133333333332,1.75,5.538461538461538,3,2.4,2,3.25,2.71428571428573
10070,1.3571428571428572,1.375,2.581999090909091,2,4.461538461538462,3.4,3.4,2.25,3,2.57142857142859
10073,0.42857142857142855,2.4444444444444446,1.5474518181818182,1.75,4.769230769230769,3.6,3.4,2.25,3.25,2.85714285714286
10074,,,,,,,,,,
10078,0.46153846153846156,2.2857142857142856,2.2269744444444446,1.25,5.230769230769231,3.2,2.6,2,3.75,2.57142857142859
10081,0.7333333333333333,1.5555555555555556,2.8962458333333334,1.75,4.666666666666667,4,3.6,2,3.25,1.71428571428573
10082,,,,,,,,,,
10083,0.5333333333333333,1.5555555555555556,1.8975491666666666,1.25,4.769230769230769,4,3.2,2.5,3.75,2.57142857142859
10084,1.7333333333333334,1.6666666666666667,1.2599641666666668,2.25,4.076923076923077,2.8,3.6,2,2.75,3.42857142857141
10085,,,,,,,,,,
10086,1.0714285714285714,1.375,9.083525454545454,1,4.846153846153846,4,3.8,2,4,3.57142857142859
10087,1.0666666666666667,1.5555555555555556,9.258784166666667,1.25,4.538461538461538,3.8,4,2.25,3.75,3.28571428571427
10088,1.2142857142857142,1,1.66159,2,4.076923076923077,4,4,3.25,3,3.14285714285714
10091,1.1428571428571428,2.625,2.495908,1.5,4.769230769230769,3.8,2.6,2.25,3.5,2.14285714285714
10092,,,,,,,,,,
10093,1.4285714285714286,1,1.56914,1.25,4.461538461538462,4,4,2,3.75,3.57142857142859
10094,0.7333333333333333,1.3333333333333333,2.145134166666667,1,5,3.8,4,1.75,4,3.71428571428573
10095,,,,,,,,,,
10096,0.8571428571428571,1.4444444444444444,1.441967,1,5.153846153846154,4,3.8,1.5,4,3.57142857142859
10097,1.3333333333333333,2.25,2.0982627272727274,2,4.6923076923076925,3,2.2,1.25,3,2
10098,1.6428571428571428,2.5,2.673738,1.25,4.076923076923077,2,2.4,1.5,3.75,2.14285714285714
10099,1.3571428571428572,2,1.1872727272727273,1.75,4.769230769230769,2.4,2.8,1.25,3.25,3.71428571428573
10100,1.5333333333333334,2.375,2.5670754545454546,1.25,3.230769230769231,2.2,2.6,2.75,3.75,2.71428571428573
10101,1.1428571428571428,1.5,1.167958888888889,1.5,3.769230769230769,3.6,4,2,3.5,3.85714285714286
10102,0.6428571428571429,2.2222222222222223,1.290855,1.25,4.846153846153846,3.6,2,3,3.75,3.14285714285714
10103,1,1.7777777777777777,2.356728,1.75,5.230769230769231,2.8,3.2,1.75,3.25,2.14285714285714
10104,,,,,,,,,,
10105,1.1428571428571428,1.6666666666666667,2.753287,1.25,4.769230769230769,4,3.6,1.66666666666667,3.75,2.4
10106,1.4285714285714286,1.4444444444444444,1.341809,1.5,4.153846153846154,3.4,4,2,3.5,3.28571428571427
10107,1.4666666666666666,2.125,9.442231818181819,1,4,3.6,2.8,1.25,4,3.42857142857141
10108,0.07142857142857142,2.4444444444444446,2.0627941666666665,1.5,5.153846153846154,3.8,2.8,2.5,3.5,2
10109,0.7857142857142857,1.7777777777777777,1.9826533333333334,1,5.076923076923077,3.8,3.4,1.25,4,2.14285714285714
10110,1.6428571428571428,2.375,8.756329090909091,1.25,4.846153846153846,3,2.6,1.75,3.75,2.71428571428573
10112,,,,,,,,,,
10114,1.2142857142857142,2.111111111111111,2.17811,1.25,5,3.4,3,2,3.75,2.71428571428573
10115,,,,,,,,,,
10116,1,1.4444444444444444,1.5282081818181819,1.75,5.230769230769231,4,3.6,1.75,3.25,3.42857142857141
10117,1.7857142857142858,2.25,1.9512827272727273,1.75,4.923076923076923,3.4,2.4,2,3.25,2.85714285714286
10118,1.0714285714285714,1,2.430702727272727,1,4.384615384615385,3.8,4,2.25,4,2.28571428571427
10119,1.3333333333333333,2,2.364008,1.75,4.461538461538462,3,3,2.25,3.25,2.71428571428573
10120,1,1,1.3704125,1.5,4.769230769230769,3.8,4,1.25,3.5,3.42857142857141
10121,0.5714285714285714,1.5555555555555556,2.009389,1.5,5.666666666666667,4,3.4,3.75,3.5,2.42857142857141
10122,,,,,,,,,,
10124,1.8,2,1.907493,1.6666666666666667,4,2.8,3,1.25,3.33333333333333,2.42857142857141
10126,1.5,1.75,1.514658,2.25,3.8461538461538463,3,3,2.75,2.75,3
10127,1.7333333333333334,1.8888888888888888,2.065078181818182,1,5.3076923076923075,3,3.2,2.5,4,2.85714285714286
10128,0.9285714285714286,2.6666666666666665,1.0848254545454545,1,4.769230769230769,3.8,2.2,2.25,4,3.71428571428573
10129,0.6666666666666666,1.5555555555555556,1.1105727272727273,1.25,3.923076923076923,4,3.4,2,3.75,4
10130,1.2857142857142858,2.125,2.08869,1,5.076923076923077,3.8,3,1.25,4,3.14285714285714
10131,1.2,2.625,1.5989336363636364,1,4.384615384615385,3,2.4,2.75,4,3
10134,0.7142857142857143,2.3333333333333335,1.8709463636363637,1.5,5,3.8,2.6,2,3.5,3.14285714285714
10135,,,,,,,,,,
10136,,,,,,,,,,
10137,1.3333333333333333,2.2857142857142856,4.371548,2,4.076923076923077,2.6,2.6,2.5,3,2.28571428571427
10138,0.7142857142857143,1.5555555555555556,1.8136291666666666,1.25,4.923076923076923,3.8,3.8,1.25,3.75,2.85714285714286
10139,1.5714285714285714,2.125,1.698290909090909,1,4.384615384615385,2.8,2.4,1,4,3.28571428571427
10140,1,2.5555555555555554,2.3381322222222223,1.5,4.153846153846154,3.6,2,1.75,3.5,2.14285714285714
10141,1.0714285714285714,1.25,1.6634372727272728,1,4.6923076923076925,3.4,3.6,2.5,4,2.71428571428573
10143,1.4285714285714286,2.125,2.361114,1.75,4.076923076923077,3.8,3.4,3.75,3.25,2.42857142857141
10144,1.5714285714285714,2.25,6.371326,1.5,4.230769230769231,3.8,3.2,2.25,3.5,3.71428571428573
10145,1.2857142857142858,1.75,1.2405341666666667,2,4.384615384615385,3.4,3.4,2.5,3,3.28571428571427
10146,1,1.875,1.4866218181818183,1.5,4.769230769230769,3.8,3.2,2,3.5,3.28571428571427
10147,1.2666666666666666,1.8888888888888888,1.174,1.5,4.538461538461538,3.6,3.2,2,3.5,3.42857142857141
10148,1.4285714285714286,2,1.736901818181818,1.25,4.076923076923077,3.2,3,1.75,3.75,2.57142857142859
10149,-0.2,1.2,,,5.7272727272727275,4,,,,
10150,1.2,1.625,1.9687463636363636,1.5,3.6153846153846154,3.8,3.2,1.75,3.5,3.14285714285714
10153,0.7857142857142857,2.25,1.5225925,1.25,4.461538461538462,3,2.8,2.25,3.75,2.85714285714286
10154,1.6,2,2.039902727272727,1.25,4.461538461538462,3.8,3.2,2.5,3.75,3
10155,1.8571428571428572,1.3333333333333333,1.5362927272727274,1,5.416666666666667,3.5,4,1.5,4,3.85714285714286
10156,1.2857142857142858,1.5555555555555556,1.8196972727272727,2.25,4.153846153846154,3.6,3.2,3,2.75,2.42857142857141
10157,0.9333333333333333,2,3.1014672727272727,1.75,4.384615384615385,3.2,2.8,3,3.25,2.28571428571427
10158,0.7857142857142857,1.375,1.5480227272727272,2,5.384615384615385,3.8,3.6,2.5,3,3
10159,0.5333333333333333,1.75,1.2565181818181819,2,5,4,3.4,2.75,3,3.71428571428573
10162,0.9285714285714286,1.875,2.4793845454545456,1,5.153846153846154,2.8,3.4,1.75,4,2
10164,1.9285714285714286,1.5555555555555556,2.027025,1.5,4,3.6,3.6,2.75,3.5,2.85714285714286
10167,0.06666666666666667,2.111111111111111,3.5681144444444444,1.25,4.923076923076923,4,3,3,3.75,3
10168,1.7857142857142858,2.625,1.8251454545454546,1,4.3076923076923075,3.6,2.4,3,4,2.57142857142859
10170,1.4666666666666666,2.125,1.8595645454545455,2,4.230769230769231,2.8,2.8,2.5,3,3
10171,1.2,1.25,2.6016636363636363,2.25,4.230769230769231,4,3.8,3,2.75,2.57142857142859
10172,0.7857142857142857,2,2.681585,1.5,5.076923076923077,4,3,2,3.5,2.14285714285714
10173,1,1.25,2.2853075,1.75,4.538461538461538,3.8,3.8,1,3.25,3.42857142857141
10174,1.2142857142857142,2.125,1.4519072727272728,1.75,4.153846153846154,3.6,2.6,2,3.25,3.14285714285714
10175,1.4666666666666666,2.25,4.72122,1.75,4.3076923076923075,3,2.6,1.75,3.25,2.28571428571427
10176,1,1.875,1.9818036363636364,2,4.769230769230769,3,2.8,2,3,2.57142857142859
10177,1.2727272727272727,1,1.726475,1,3.8,4,4,2.25,4,3.28571428571427
10179,0.4,1.75,2.153309090909091,1,4.6923076923076925,3.4,3.2,3.5,4,3.14285714285714
10180,0,1.5,1.2580536363636363,1.25,4.923076923076923,3.8,3.4,2.75,3.75,3.42857142857141
10181,1.3571428571428572,1.25,0.9791745454545454,1.25,3.923076923076923,4,3.6,1,3.75,4
10182,1.4615384615384615,1.6666666666666667,1.3847933333333333,2.75,4.6923076923076925,3.8,3.4,2.66666666666667,2.25,2.85714285714286
10183,,,,,,,,,,
10186,0.5333333333333333,1.8888888888888888,1.0017383333333334,1.25,5.3076923076923075,3.8,3,2.75,3.75,3.42857142857141
10187,2.142857142857143,2.6666666666666665,2.3579208333333335,1,4.461538461538462,3.2,2.4,1,4,3
10188,,,,,,,,,,
10189,0.6,2.4444444444444446,1.9006522222222222,1.25,4.461538461538462,3.8,2.8,1.5,3.75,2.85714285714286
10190,,,,,,,,,,
10191,0.5,1.7777777777777777,1.3260845454545453,1.75,4.076923076923077,3.6,3.8,2.75,3.25,3.14285714285714
10192,1.8571428571428572,2.2222222222222223,2.0394936363636362,1.75,4.846153846153846,3.4,3.2,3.5,3.25,2.57142857142859
10193,,,,,,,,,,
10195,1.1428571428571428,2.25,2.355418181818182,2.75,4.538461538461538,3.2,2.6,3.5,2.25,3.57142857142859
10196,1.4285714285714286,2.25,1.5004036363636364,1.25,5.076923076923077,3,2.6,1.25,3.75,2.85714285714286
10197,0.7857142857142857,2.125,2.085662727272727,1.25,3.6923076923076925,4,2.8,3.25,3.75,2.28571428571427
10198,1.6428571428571428,1.125,1.6069445454545455,1,5.153846153846154,4,4,1.5,4,2.85714285714286
10199,0.7692307692307693,1.75,8.314769166666666,2.25,4.615384615384615,3,3,2.75,2.75,3
10200,0.7857142857142857,1.875,2.0483818181818183,1.25,5,3.8,3.2,2,3.75,2.85714285714286
10201,0.5,1.375,1.1801227272727273,1.25,5.230769230769231,4,3.8,1.25,3.75,3.42857142857141
10202,1.5,1.375,1.410231818181818,1.5,4.615384615384615,3.4,3.6,1.75,3.5,3.28571428571427
10203,1.4285714285714286,1.5,1.84716,1.25,4.461538461538462,4,3.8,1.5,3.75,3.57142857142859
10204,,,,,,,,,,
10207,0,2.2222222222222223,2.25981,1.75,5.3076923076923075,3.6,2.6,2.75,3.25,1.57142857142859
10209,0.9285714285714286,1.625,4.743970909090909,1.25,4.846153846153846,3.8,3,1.25,3.75,3.57142857142859
10211,1,2.111111111111111,2.2371483333333333,1.75,5.3076923076923075,3.2,3,1.75,3.25,2.14285714285714
10212,1.7142857142857142,2,2.634025,1.75,4.615384615384615,1.6,2.6,3,3.25,2.57142857142859
10213,0.5333333333333333,2,1.287169090909091,1.25,5,4,3.4,3.25,3.75,3.57142857142859
10215,0.5714285714285714,1.7777777777777777,1.2753808333333334,1.25,5.230769230769231,4,3.2,1.5,3.75,3
10218,1.5714285714285714,2.125,1.2364666666666666,1.25,4.230769230769231,4,2.6,2.75,3.75,3.42857142857141
10219,1.2857142857142858,1.25,1.2873533333333333,1,3.769230769230769,2.6,3.8,2,4,3.85714285714286
10220,2.0714285714285716,1.5714285714285714,1.811509090909091,1.25,3.6153846153846154,3.2,3.6,2.5,3.75,2.85714285714286
10221,0.4,2.111111111111111,1.6656781818181818,1.75,5.153846153846154,3.6,3,2.5,3.25,3
10222,0.8571428571428571,2.5555555555555554,2.139538181818182,2.75,4.6923076923076925,2.4,2.2,2.25,2.25,2
10223,1.4285714285714286,1.625,5.767900909090909,2.5,4.6923076923076925,3.2,3.4,1.75,2.5,3.57142857142859
10224,1.2142857142857142,1.25,0.9115436363636363,2,4.6923076923076925,4,3.8,1.5,3,3.71428571428573
10225,1.2857142857142858,2.4444444444444446,2.079269090909091,2.25,5,3.2,2.6,2.5,2.75,2.42857142857141
10226,2.2857142857142856,2.4285714285714284,1.655407,3,3.923076923076923,3.4,2.6,2.5,2,3
10228,0.6428571428571429,1.3333333333333333,1.185961,1,5,4,4,1.75,4,4
10229,,,,,,,,,,
10230,0.4666666666666667,1.7777777777777777,9.895512,2.75,4.615384615384615,3,3.2,3,2.25,3.28571428571427
10231,1.4285714285714286,1.3333333333333333,2.1705763636363637,2,4.076923076923077,3.2,3.6,2,3,2.14285714285714
10233,,,,,,,,,,
10234,1.2857142857142858,2.5555555555555554,2.3055416666666666,2,4.230769230769231,3.2,2.4,2,3,2.42857142857141
10235,0.5,1.5555555555555556,1.476521,1,5.3076923076923075,3,3.8,1.75,4,3.28571428571427
10237,1.2857142857142858,1.5,1.472305,1.25,3.6923076923076925,4,3.4,1.75,3.75,3.28571428571427
10238,,,,,,,,,,
10239,2.2142857142857144,2.375,1.1931454545454545,1.75,3.8461538461538463,3,2.8,2.5,3.25,3.28571428571427
10241,0.7857142857142857,1.6666666666666667,2.00334,1.5,4.461538461538462,3.8,3.6,1.25,3.5,2.57142857142859
10242,,,,,,,,,,
10243,1.6,1.7777777777777777,2.050421666666667,1.5,4.769230769230769,3.4,3.4,2.75,3.5,2.85714285714286
10244,1.7857142857142858,1.4444444444444444,1.826500909090909,1.25,3.6923076923076925,3.4,3.2,2.75,3.75,2.57142857142859
10245,1.0714285714285714,1.3333333333333333,1.940261818181818,2,5,4,4,2.5,3,3
10246,1.4285714285714286,1.875,1.8590063636363636,1.25,4.846153846153846,3.8,2.8,1.25,3.75,2.42857142857141
10248,1.7142857142857142,1.2222222222222223,1.99196,1.25,4.461538461538462,3.2,4,1.75,3.75,2.71428571428573
10249,0.8571428571428571,1.75,8.683219090909091,1.25,4.538461538461538,3.6,3,2,3.75,3.85714285714286
10250,0.7142857142857143,2.5714285714285716,1.8408744444444445,1,4.923076923076923,3.6,2,2.75,4,2.2
10252,0.8571428571428571,2.3333333333333335,1.6682691666666667,1,4.769230769230769,3.8,2.4,2.5,4,2.42857142857141
10253,1.2,2,1.776451,1,3.769230769230769,3.4,3.6,2.25,4,3
10254,1.5333333333333334,1.875,1.2695558333333334,2.25,4.6923076923076925,3.6,2.8,3.5,2.75,3.28571428571427
10255,2.142857142857143,2.5,2.604926,2.5,3.3846153846153846,3,2,3.25,2.5,2
10256,1.5714285714285714,2,1.5552054545454546,1.75,5,3,3,2.5,3.25,3
10257,1,2.125,2.083780909090909,1.75,4.846153846153846,3,2.6,1.75,3.25,2.28571428571427
10259,1.0666666666666667,1.6666666666666667,1.489716,1.75,5.3076923076923075,4,3.4,2,3.25,3.42857142857141
10260,1.1428571428571428,1.375,2.1840872727272727,1.5,4.846153846153846,3.6,3.6,2.75,3.5,2.28571428571427
10261,1,1.4444444444444444,2.0996536363636364,1.75,4.538461538461538,3.6,3.4,3,3.25,2.57142857142859
10262,1.2142857142857142,2.625,2.195152727272727,1.5,4.384615384615385,2.8,2.2,3,3.5,1.85714285714286
10263,1.2666666666666666,1.875,1.74812,1.5,4.230769230769231,3.4,2.8,2.25,3.5,2.28571428571427
10264,0.6153846153846154,2.2222222222222223,2.009788,1,5.384615384615385,3.8,3,1,4,2.42857142857141
10265,0.5714285714285714,2,1.1021636363636365,1.75,4.3076923076923075,4,3.6,2.25,3.25,3.57142857142859
10266,1.0714285714285714,1.125,1.5331344444444444,1.5,4.230769230769231,4,3.8,1.25,3.5,3.71428571428573
10267,0.3333333333333333,1.5,10.438467272727273,1.5,4.769230769230769,4,3.4,2.5,3.5,4
10269,1.3333333333333333,2.25,2.3290100000000002,1.5,5,3.6,3,3,3.5,2.85714285714286
10270,1.0714285714285714,1.8888888888888888,2.753279,1.25,4.076923076923077,3.6,3.4,2.25,3.75,2.71428571428573
10271,1.5714285714285714,2,2.157938181818182,2,4.076923076923077,3.4,3,3.25,3,2.85714285714286
10272,0.26666666666666666,1.625,1.986122,1.5,4.923076923076923,3.8,3.2,2.25,3.5,3.14285714285714
10274,0.8666666666666667,1.875,1.7137136363636363,2,4.3076923076923075,3.4,2.8,2.25,3,3
10275,1.0714285714285714,1.5555555555555556,1.710365,2.25,4.846153846153846,3.8,3.4,2,2.75,2.85714285714286
10276,,,,,,,,,,
10278,0.6428571428571429,2.2222222222222223,2.006885,1,5.3076923076923075,3.8,2.6,3,4,2.42857142857141
10279,1.4285714285714286,1.5,1.0499654545454546,1.25,4.384615384615385,3.2,3.2,1.25,3.75,3.57142857142859
10280,0.6428571428571429,1.6666666666666667,0.9920991666666666,1.25,4.6923076923076925,4,3.8,3,3.75,3.85714285714286
10286,1.2142857142857142,1,0.8511525,1.75,5.615384615384615,4,4,1.25,3.25,4
10287,0.2857142857142857,2.5555555555555554,2.374452,1.25,4.230769230769231,3.2,1.8,2.75,3.75,2
10289,1.5,1.875,2.407718,2.25,3.090909090909091,3.4,3.4,1.75,2.75,2.71428571428573
10290,0.8,2.4444444444444446,2.2578845454545453,2,4.846153846153846,2.4,2.2,2.5,3,2.14285714285714
10293,1.2307692307692308,2.8333333333333335,2.109363,1.5,4.461538461538462,2.8,2.2,2,3.5,2.85714285714286
10294,1.0714285714285714,1.8888888888888888,2.2296541666666667,1.25,4,3.4,3,1.75,3.75,2.71428571428573
10295,0.8571428571428571,2.111111111111111,2.146738181818182,1.75,5.538461538461538,3.8,3,1.25,3.25,2.57142857142859
10296,1.3333333333333333,1.875,9.662938,1.75,3.769230769230769,3.8,3.4,3.75,3.25,3.85714285714286
10297,1.5,1.8888888888888888,1.9542972727272727,1.5,3.923076923076923,4,3,2,3.5,3
10298,0.9285714285714286,1.7777777777777777,4.025710833333333,1.5,4.6923076923076925,4,3.2,1.75,3.5,3.42857142857141
10299,1.1428571428571428,1.875,1.3875445454545454,1.25,5.076923076923077,3.6,3.6,3.5,3.75,3.14285714285714
10301,0.6428571428571429,2,2.9449663636363637,1,5.076923076923077,3.8,3,2.5,4,2.28571428571427
10302,1.6,1.5714285714285714,2.052919090909091,2.5,3.6153846153846154,2.4,3.2,3.5,2.5,3.14285714285714
10303,1.0714285714285714,1.4444444444444444,1.9274636363636364,1.75,5.230769230769231,4,3.8,2.25,3.25,2.71428571428573
10304,0.6428571428571429,1.875,1.9503872727272726,1.75,4.846153846153846,3,2.8,2,3.25,2.71428571428573
10305,1.8666666666666667,1.75,9.606261666666667,2.25,4.230769230769231,2.8,3.2,3.75,2.75,2.71428571428573
10306,1.3076923076923077,2.4444444444444446,2.368622727272727,1.75,3.769230769230769,3.6,2.2,2.5,3.25,1.71428571428573
10307,0.6,1.8888888888888888,1.7402490909090909,1.5,5.3076923076923075,4,3.2,3.25,3.5,2.85714285714286
10308,1.2142857142857142,1.25,1.207619,1.75,4.384615384615385,3.8,4,2,3.25,3.42857142857141
10309,1.3571428571428572,1.7777777777777777,1.851512,1.75,4.538461538461538,3.6,3.2,2,3.25,3.28571428571427
10310,0.6,1.6,,,4.2727272727272725,4,,,,
10311,1.5333333333333334,2.5555555555555554,2.4380754545454546,1.5,3.8461538461538463,3.8,2.6,2.75,3.5,2.14285714285714
10313,0.8666666666666667,1.7777777777777777,2.858508,1.25,5.384615384615385,3.6,3.4,2.25,3.75,2.57142857142859
10314,1.5384615384615385,1.3333333333333333,2.3455566666666665,1.75,5.076923076923077,4,4,1.25,3.25,1.42857142857141
10316,,,,,,,,,,
10319,0.42857142857142855,2.4444444444444446,2.462255,1.5,5.230769230769231,4,2.6,2,3.5,2.57142857142859
10322,1.2857142857142858,1.5,1.7067109090909092,1.75,5.230769230769231,3,3.8,2.75,3.25,3.14285714285714
10323,1.0714285714285714,1.6666666666666667,1.6578933333333332,1.25,4.923076923076923,4,3.4,1.5,3.75,2.85714285714286
10324,1.2857142857142858,1.625,1.2481677777777778,2,3.8461538461538463,3.6,3.6,2.75,3,3.57142857142859
10325,1.0666666666666667,1.75,2.949948181818182,1.25,4.230769230769231,2.8,3.4,3.5,3.75,2.28571428571427
10326,0.2,1.7777777777777777,1.8547263636363636,1.25,4.538461538461538,4,3.4,2.75,3.75,3.71428571428573
10327,1.2142857142857142,1.375,1.850141818181818,1.5,4.384615384615385,4,3.6,1.75,3.5,3.28571428571427
10328,,,,,,,,,,
10329,1.3571428571428572,1.6666666666666667,1.228349,2.75,4.230769230769231,3.8,3.4,2.25,2.25,3.57142857142859
10330,1.2666666666666666,1.6666666666666667,1.977855,1,4.3076923076923075,3.2,3.4,2,4,2.85714285714286
10332,1.4,1.3333333333333333,1.5306636363636363,1.25,4.769230769230769,3.8,4,2.75,3.75,3.71428571428573
10334,1.2142857142857142,2.375,1.553183,1.25,4.6923076923076925,3.4,2.6,2.75,3.75,3
10335,,,,,,,,,,
10336,1.3571428571428572,1.4444444444444444,1.490877,1.5,4.846153846153846,4,4,2,3.5,3.28571428571427
10337,0.9285714285714286,1.8888888888888888,2.779821,2.25,5.769230769230769,3.6,3.2,2,2.75,1.85714285714286
10338,1.6,3,2.08026,3.5,3.923076923076923,3,2,3.25,1.5,2.85714285714286
10339,1.6,1.2222222222222223,1.782445,1,3.923076923076923,3.8,4,3.5,4,3.28571428571427
10341,1.3571428571428572,2,1.775174,2,5.166666666666667,3,2.6,2.25,3,2.85714285714286
10342,0.8571428571428571,1.8888888888888888,1.6993163636363637,1.5,5.230769230769231,4,3.4,3,3.5,2.85714285714286
10343,1.0666666666666667,2.25,2.30903,1.5,4.6923076923076925,3.2,2.8,2.75,3.5,2.42857142857141
10344,1.2142857142857142,2.25,2.5315808333333334,1.75,4.230769230769231,2.8,2.6,1.75,3.25,3
10346,0.3333333333333333,1.75,2.7530125,1.5,5,3.2,3,1.75,3.5,2
10347,1.6428571428571428,1.2222222222222223,1.7830508333333333,1.25,5.230769230769231,4,4,2.25,3.75,2.57142857142859
10348,1.6363636363636365,1.25,1.356487,1,4.5,4,3.8,1,4,3.42857142857141
10349,1.4285714285714286,2.5555555555555554,1.8811963636363636,3.25,3.769230769230769,3.4,2.4,2.75,1.75,2.42857142857141
10350,0.9285714285714286,1,4.25175,1.5,4.3076923076923075,4,4,1.75,3.5,2.57142857142859
10351,1.9090909090909092,2.111111111111111,1.928562,1.5,3.9,3.8,3.2,1.5,3.5,2.57142857142859
