var_name_raw,var_name_clean,var_label
A1PA85I,a1pa85i,Tire easily because of worry (12 months)
A1PA85J,a1pa85j,Sore/aching muscles because of worry (12 months)
A1PANXIE,a1panxie,Anxiety Disorder (continuous)
A1PANXTD,a1panxtd,Anxiety Disorder (binary)
A1PA86,a1pa86,How much worry interferes with your life
A1PA87,a1pa87,Have spell/attack (12 months)
A1PA87A,a1pa87a,Spell/attack for no reason (12 months)
A1PA88,a1pa88,Number of attacks (12 months)
A1PA89,a1pa89,Attack happen when danger or center attention
A1PA90A,a1pa90a,Heart pounds during attacks
A1PA90B,a1pa90b,Tight/pain in chest during attacks
A1PA90C,a1pa90c,Sweat during attacks
A1PA90D,a1pa90d,Tremble/shake during attacks
A1PA90E,a1pa90e,Hot flashes/chills during attacks
A1PA90F,a1pa90f,Things seem unreal during attacks
A1PPANIC,a1ppanic,Panic Attack (continuous)
A1PPANDX,a1ppandx,Panic Attack (binary)
A1PB1,a1pb1,Highest level of education completed
A1PMQB1,a1pmqb1,R education categories 1
A1PEDUCP,a1peducp,R education categories 2
A1PEDU,a1pedu,R education - dichotomous
A1PSXEDAG,a1psxedag,Sex/Edu/Age category of R
A1PB2,a1pb2,Age first worked for pay for 6 or more months
A1PB3A,a1pb3a,Current employment - Working
A1PB3B,a1pb3b,Current employment - Self-employed
A1PB3C,a1pb3c,Current employment - Unemployed
A1PB3D,a1pb3d,Current employment - Temporarily laid off
A1PB3E,a1pb3e,Current employment - Retired
A1PB3F,a1pb3f,Current employment - Homemaker
A1PB3G,a1pb3g,Current employment - Full-time student
A1PB3H,a1pb3h,Current employment - Part-time student
A1PB3I,a1pb3i,Current employment - Maternity or sick leave
A1PB3J,a1pb3j,Current employment - Permanently disabled
A1PB3K,a1pb3k,Current employment - Other (specify)
A1PB5,a1pb5,Length of unemployment (number of weeks)
A1PB4A,a1pb4a,Reason for current unemployment - Fired
A1PB4B,a1pb4b,Reason for current unemployment - Laid off
A1PB4C,a1pb4c,Reason for current unemployment - Plant/company closed
A1PB4D,a1pb4d,Reason for current unemployment - Quit
A1PB4E,a1pb4e,Reason for current unemployment - Retired
A1PB4F,a1pb4f,Reason for current unemployment - Work force reduction (volunteered)
A1PB4G,a1pb4g,Reason for current unemployment - Other (specify)
A1PB6,a1pb6,Working for pay at the present time
A1PB8_2,a1pb8_2,Supervises others (current job)
A1PB8_3,a1pb8_3,Number of people supervised (current job)
A1PB10,a1pb10,Employee or self-employed (current job)
A1POCC,a1pocc,Respondent current occupation
A1PIND,a1pind,Respondent current industry
A1POCMJ,a1pocmj,R's current occupation - major groups
A1PINMJ,a1pinmj,R's current industry - major groups
A1PTSEI,a1ptsei,Respondent current - SEI 80 - total
A1PTEARN,a1ptearn,Respondent current - logit all earn >= 14.30
A1PTEDU,a1ptedu,Respondent current - logit all educ some col
A1PFSEI,a1pfsei,Respondent current - SEI 80 - female
A1PFEARN,a1pfearn,Respondent current - logit wmn earn >= 14.30
A1PFEDU,a1pfedu,Respondent current - logit wmn educ some col
A1PMSEI,a1pmsei,Respondent current - SEI 80 - male
A1PMEARN,a1pmearn,Respondent current - logit men earn >= 14.30
A1PMEDU,a1pmedu,Respondent current - logit men educ some col
R_ABSCRE,r_abscre,Respondent current - abstract and creative
R_ATMOSP,r_atmosp,Respondent current - atmospheric conditions
R_BOTH,r_both,Respondent current - prfrmd in and outdoor
R_BUSPR,r_buspr,Respondent current - business cntct people
R_CLERIC,r_cleric,Respondent current - clerical perception
R_CLIMB,r_climb,Respondent current - climbing or balancing
R_CLRDIS,r_clrdis,Respondent current - color discrimination
R_COLD,r_cold,Respondent current - extreme cold
R_COMMDA,r_commda,Respondent current - communication of data
R_DATAL,r_datal,Respondent current - cmplxty - rltn to data
R_DATAPR,r_datapr,Respondent current - data preference
R_DCP,r_dcp,Respondent current - adapt accept rspnsblty
R_DEPL,r_depl,Respondent current - adapt people instrctn
R_ENVIRO,r_enviro,Respondent current - environment condition
R_EYHNFT,r_eyhnft,Respondent current - eye hand foot coordntn
R_FIF,r_fif,Respondent current - adapt situ feel - view
R_FMNHR,r_fmnhr,Respondent current - female mean hrly earn
R_FMNYR,r_fmnyr,Respondent current - female mean annl earn
R_FNGRDX,r_fngrdx,Respondent current - finger dexterity
R_FRMPRC,r_frmprc,Respondent current - form perception
R_GED,r_ged,Respondent current - gnrl education devlpmt
R_HAZARD,r_hazard,Respondent current - hazards
R_HEAT,r_heat,Respondent current - extreme heat
R_INFLU,r_influ,Respondent current - adapt influence ideas
R_INTELL,r_intell,Respondent current - intelligence aptitude
R_MACHPR,r_machpr,Respondent current - activities w machines
R_MCHNPR,r_mchnpr,Respondent current - machine preference
R_MEN,r_men,Respondent current - men in occupation 1979
R_MMNHR,r_mmnhr,Respondent current - male mean hrly earn
R_MMNYR,r_mmnyr,Respondent current - male mean annl earn
R_MNLDXT,r_mnldxt,Respondent current - manual dexterity
R_MTRCRD,r_mtrcrd,Respondent current - motor coordination
R_MVC,r_mvc,Respondent current - adapt general measures
R_NOISE,r_noise,Respondent current - noise or vibrations
R_NUMERC,r_numerc,Respondent current - numerical aptitude
R_OBSPRE,r_obspre,Respondent current - activities w objects
R_OUT,r_out,Respondent current - performed outdoors
R_PEOPLE,r_people,Respondent current - complexity w people
R_PEOPRE,r_peopre,Respondent current - work for presumed good
R_PHYSDM,r_physdm,Respondent current - physical demands
R_PRODPR,r_prodpr,Respondent current - productive preference
R_PROTPR,r_protpr,Respondent current - tngbl productive satis
R_PRSTPR,r_prstpr,Respondent current - prestige of others
R_PUS,r_pus,Respondent current - adapt perform stress
R_REACH,r_reach,Respondent current - reaching handling feel
R_REPCON,r_repcon,Respondent current - adapt repetitive work
R_ROUTPR,r_routpr,Respondent current - routine activities
R_SCINPR,r_scinpr,Respondent current - scientific activities
R_SEE,r_see,Respondent current - seeing
R_SJC,r_sjc,Respondent current - adapt general judgemtl
R_SPATIA,r_spatia,Respondent current - spatial aptitude
R_STOOP,r_stoop,Respondent current - stoop kneel and crawl
R_STRGTH,r_strgth,Respondent current - strength
R_STS,r_sts,Respondent current - adapt to situat limits
R_SVP,r_svp,Respondent current - specific vocation prep
R_TALK,r_talk,Respondent current - talking or hearing
R_THINGS,r_things,Respondent current - complexity of things
R_TRAIN,r_train,Respondent current - training times
R_VARCH,r_varch,Respondent current - adapt multiple duties
R_VERBAL,r_verbal,Respondent current - verbal aptitude
R_WET,r_wet,Respondent current - wet and humid conditn
R_WOMEN,r_women,Respondent current - women in occupatn 1979
MINDUS_R,mindus_r,Respondent current - 1 if missing industry code
PROFID_R,profid_r,Respondent current - professional / related srvcs
AGRIC_R,agric_r,"Respondent current - agri, forestry, fishry, mining"
CONSTR_R,constr_r,Respondent current - construction
MANUF_R,manuf_r,Respondent current - manufacturing
TRANSP_R,transp_r,"Respondent current - transp, comm, public utility"
WHOLE_R,whole_r,Respondent current - wholesale trade
RETAIL_R,retail_r,Respondent current - retail trade
FNANCE_R,fnance_r,"Respondent current - finance, insurance, real est"
BUSIN_R,busin_r,Respondent current - business and repair services
PERSON_R,person_r,Respondent current - personal services
ENTERT_R,entert_r,"Respondent current - entertainment, recreation serv"
PUBADM_R,pubadm_r,Respondent current - public administration
MOCCUP_R,moccup_r,Respondent current - 1 if missing occupation code
EXEC_R,exec_r,"Respondent current - executive, administ, managerl"
PROFOC_R,profoc_r,Respondent current - professional specialty
TECH_R,tech_r,Respondent current - technicians / related support
SALES_R,sales_r,Respondent current - sales occupations
ADMIN_R,admin_r,"Respondent current - admin support, incld clerical"
SERV_R,serv_r,Respondent current - service occupations
FARM_R,farm_r,"Respondent current - farming, forestry, fishing"
CRAFT_R,craft_r,"Respondent current - precision prod, craft, repair"
OPERAT_R,operat_r,"Respondent current - operator, laborer, military"
A1PB11,a1pb11,Hours work for pay at main job
A1PB11A,a1pb11a,Hours work at other jobs
A1PB12,a1pb12,Number of nights away due to job (12 months)
A1PB14_2,a1pb14_2,Supervise others (last job)
A1PB14_3,a1pb14_3,Number of people supervised (last job)
A1PB16,a1pb16,Employee or self-employed (last job)
A1POCCP,a1poccp,Respondent last occupation
A1PINDP,a1pindp,Respondent last industry
A1POCPMJ,a1pocpmj,R's previous occupation - major groups
A1PINPMJ,a1pinpmj,R's previous industry - major groups
A1PTSEIP,a1ptseip,Respondent last - SEI 80 - total
A1PTEARP,a1ptearp,Respondent last - logit all earn >= 14.30
A1PTEDUP,a1ptedup,Respondent last - logit all educ some col
A1PFSEIP,a1pfseip,Respondent last - SEI 80 - female
A1PFEARP,a1pfearp,Respondent last - logit wmn earn >= 14.30
A1PFEDUP,a1pfedup,Respondent last - logit wmn educ some col
A1PMSEIP,a1pmseip,Respondent last - SEI 80 - male
A1PMEARP,a1pmearp,Respondent last - logit men earn >= 14.30
A1PMEDUP,a1pmedup,Respondent last - logit men educ some col
L_ABSCRE,l_abscre,Respondent last - abstract and creative
L_ATMOSP,l_atmosp,Respondent last - atmospheric conditions
L_BOTH,l_both,Respondent last - prfrmd in and outdoor
L_BUSPR,l_buspr,Respondent last - business cntct people
L_CLERIC,l_cleric,Respondent last - clerical perception
L_CLIMB,l_climb,Respondent last - climbing or balancing
L_CLRDIS,l_clrdis,Respondent last - color discrimination
L_COLD,l_cold,Respondent last - extreme cold
L_COMMDA,l_commda,Respondent last - communication of data
L_DATAL,l_datal,Respondent last - cmplxty - rltn to data
L_DATAPR,l_datapr,Respondent last - data preference
L_DCP,l_dcp,Respondent last - adapt accept rspnsblty
L_DEPL,l_depl,Respondent last - adapt people instrctn
L_ENVIRO,l_enviro,Respondent last - environment condition
L_EYHNFT,l_eyhnft,Respondent last - eye hand foot coordntn
L_FIF,l_fif,Respondent last - adapt situ feel - view
L_FMNHR,l_fmnhr,Respondent last - female mean hrly earn
L_FMNYR,l_fmnyr,Respondent last - female mean annl earn
L_FNGRDX,l_fngrdx,Respondent last - finger dexterity
L_FRMPRC,l_frmprc,Respondent last - form perception
L_GED,l_ged,Respondent last - gnrl educational devlpmt
L_HAZARD,l_hazard,Respondent last - hazards
L_HEAT,l_heat,Respondent last - extreme heat
L_INFLU,l_influ,Respondent last - adapt influence ideas
L_INTELL,l_intell,Respondent last - intelligence aptitude
L_MACHPR,l_machpr,Respondent last - activities w machines
L_MCHNPR,l_mchnpr,Respondent last - machine preference
L_MEN,l_men,Respondent last - men in occupation 1979
L_MMNHR,l_mmnhr,Respondent last - male mean hrly earn
L_MMNYR,l_mmnyr,Respondent last - male mean annl earn
L_MNLDXT,l_mnldxt,Respondent last - manual dexterity
L_MTRCRD,l_mtrcrd,Respondent last - motor coordination
L_MVC,l_mvc,Respondent last - adapt general measures
L_NOISE,l_noise,Respondent last - noise or vibrations
L_NUMERC,l_numerc,Respondent last - numerical aptitude
L_OBSPRE,l_obspre,Respondent last - activities w objects
L_OUT,l_out,Respondent last - performed outdoors
L_PEOPLE,l_people,Respondent last - complexity w people
L_PEOPRE,l_peopre,Respondent last - work for presumed good
L_PHYSDM,l_physdm,Respondent last - physical demands
L_PRODPR,l_prodpr,Respondent last - productive preference
L_PROTPR,l_protpr,Respondent last - tngbl productive satis
L_PRSTPR,l_prstpr,Respondent last - prestige of others
L_PUS,l_pus,Respondent last - adapt perform stress
L_REACH,l_reach,Respondent last - reaching handling feel
L_REPCON,l_repcon,Respondent last - adapt repetitive work
L_ROUTPR,l_routpr,Respondent last - routine activities
L_SCINPR,l_scinpr,Respondent last - scientific activities
L_SEE,l_see,Respondent last - seeing
L_SJC,l_sjc,Respondent last - adapt general judgemtl
L_SPATIA,l_spatia,Respondent last - spatial aptitude
L_STOOP,l_stoop,Respondent last - stoop kneel and crawl
L_STRGTH,l_strgth,Respondent last - strength
L_STS,l_sts,Respondent last - adapt to situat limits
L_SVP,l_svp,Respondent last - specific vocation prep
L_TALK,l_talk,Respondent last - talking or hearing
L_THINGS,l_things,Respondent last - complexity of things
L_TRAIN,l_train,Respondent last - training times
L_VARCH,l_varch,Respondent last - adapt multiple duties
L_VERBAL,l_verbal,Respondent last - verbal aptitude
L_WET,l_wet,Respondent last - wet and humid conditn
L_WOMEN,l_women,Respondent last - women in occupatn 1979
MINDUS_L,mindus_l,Respondent last - 1 if missing industry code
PROFID_L,profid_l,Respondent last - professional / related srvcs
AGRIC_L,agric_l,"Respondent last - agri, forestry, fishry, mining"
CONSTR_L,constr_l,Respondent last - construction
MANUF_L,manuf_l,Respondent last - manufacturing
TRANSP_L,transp_l,"Respondent last - transp, comm, public utility"
WHOLE_L,whole_l,Respondent last - wholesale trade
RETAIL_L,retail_l,Respondent last - retail trade
FNANCE_L,fnance_l,"Respondent last - finance, insurance, real est"
BUSIN_L,busin_l,Respondent last - business and repair services
PERSON_L,person_l,Respondent last - personal services
ENTERT_L,entert_l,"Respondent last - entertainment, recreation serv"
PUBADM_L,pubadm_l,Respondent last - public administration
MOCCUP_L,moccup_l,Respondent last - 1 if missing occupation code
EXEC_L,exec_l,"Respondent last - executive, administ, managerl"
PROFOC_L,profoc_l,Respondent last - professional specialty
TECH_L,tech_l,Respondent last - technicians / related support
SALES_L,sales_l,Respondent last - sales occupations
ADMIN_L,admin_l,"Respondent last - admin support, incld clerical"
SERV_L,serv_l,Respondent last - service occupations
FARM_L,farm_l,"Respondent last - farming, forestry, fishing"
CRAFT_L,craft_l,"Respondent last - precision prod, craft, repair"
OPERAT_L,operat_l,"Respondent last - operator, laborer, military"
A1PB17,a1pb17,Marital status currently
A1PB19,a1pb19,Number of times married altogether
A1PB18MO,a1pb18mo,Month married (first marriage)
A1PB18YR,a1pb18yr,Year married (first marriage)
A1PB20,a1pb20,End in widow or divorce (first marriage)
A1PB20AMO,a1pb20amo,Month spouse died (first marriage)
A1PB20AYR,a1pb20ayr,Year spouse died (first marriage)
A1PB20BMO,a1pb20bmo,Month last live with spouse (first marriage)
A1PB20BYR,a1pb20byr,Year last live with spouse (first marriage)
A1PB21MO,a1pb21mo,Month married (recent marriage)
A1PB21YR,a1pb21yr,Year married (recent marriage)
A1PB22MO,a1pb22mo,Month last live with spouse (recent marriage)
A1PB22YR,a1pb22yr,Year last live with spouse (recent marriage)
A1PB23MO,a1pb23mo,Month spouse died (recent marriage)
A1PB23YR,a1pb23yr,Year spouse died (recent marriage)
A1PB24,a1pb24,Cohabitation with partner currently
A1PB25,a1pb25,Length of cohabitation - number of weeks
A1PPARTN,a1ppartn,Married or cohabitating
A1PB26,a1pb26,Year spouse/partner born
A1PSAGE,a1psage,Age of spouse/partner
A1PB27,a1pb27,Spouse/partner highest level of education completed
A1PMQB27,a1pmqb27,Spouse/partner education categories
A1PSEDU,a1psedu,Spouse/partner education - dichotomous
A1PSSXEDAG,a1pssxedag,Spouse/partner Sex/Edu/Age category
A1PB28A,a1pb28a,Spouse/partner current employment - Working
A1PB28B,a1pb28b,Spouse/partner current employment - Self-employed
A1PB28C,a1pb28c,Spouse/partner current employment - Unemployed
A1PB28D,a1pb28d,Spouse/partner current employment - Temporarily laid off
A1PB28E,a1pb28e,Spouse/partner current employment - Retired
A1PB28F,a1pb28f,Spouse/partner current employment - Homemaker
A1PB28G,a1pb28g,Spouse/partner current employment - Full-time student
A1PB28H,a1pb28h,Spouse/partner current employment - Part-time student
A1PB28I,a1pb28i,Spouse/partner current employment - Maternity or sick leave
A1PB28J,a1pb28j,Spouse/partner current employment - Permanently disabled
A1PB28K,a1pb28k,Spouse/partner current employment - Other (specify)
A1PB30,a1pb30,Spouse/partner length of unemployment (number of weeks)
A1PB29A,a1pb29a,Spouse/partner reason for current unemployment - Fired
A1PB29B,a1pb29b,Spouse/partner reason for current unemployment - Laid off
A1PB29C,a1pb29c,Spouse/partner reason for current unemployment - Plant/company closed
A1PB29D,a1pb29d,Spouse/partner reason for current unemployment - Quit
A1PB29E,a1pb29e,Spouse/partner reason for current unemployment - Retired
A1PB29F,a1pb29f,Spouse/partner reason for current unemployment - Work force reduction (volunteered)
