var_name_raw,var_name_clean,label,class
A1SF3T,a1sf3t,Helpful to set goals for near future,"haven_labelled,vctrs_vctr,double"
A1SF3U,a1sf3u,Too many things today to worry about tomorrow,"haven_labelled,vctrs_vctr,double"
A1SF4A,a1sf4a,Outgoing describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4B,a1sf4b,Helpful describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4C,a1sf4c,Moody describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4D,a1sf4d,Organized describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4F,a1sf4f,Friendly describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4G,a1sf4g,Warm describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4H,a1sf4h,Worrying describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4I,a1sf4i,Responsible describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4K,a1sf4k,Lively describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4L,a1sf4l,Caring describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4M,a1sf4m,Nervous describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4N,a1sf4n,Creative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4P,a1sf4p,Hardworking describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4Q,a1sf4q,Imaginative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4R,a1sf4r,Softhearted describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4S,a1sf4s,Calm describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4U,a1sf4u,Intelligent describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4V,a1sf4v,Curious describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4W,a1sf4w,Active describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4X,a1sf4x,Careless describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4Z,a1sf4z,Sympathetic describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4AA,a1sf4aa,Talkative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4BB,a1sf4bb,Sophisticated describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4CC,a1sf4cc,Adventurous describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF5A,a1sf5a,How calm now,"haven_labelled,vctrs_vctr,double"
A1SF5B,a1sf5b,How calm 10 years ago,"haven_labelled,vctrs_vctr,double"
A1SF5C,a1sf5c,How calm 10 years ahead,"haven_labelled,vctrs_vctr,double"
A1SF5J,a1sf5j,How caring now,"haven_labelled,vctrs_vctr,double"
A1SF5K,a1sf5k,How caring 10 years ago,"haven_labelled,vctrs_vctr,double"
A1SF5L,a1sf5l,How caring 10 years ahead,"haven_labelled,vctrs_vctr,double"
A1SG1A,a1sg1a,Calm in late 20s,"haven_labelled,vctrs_vctr,double"
A1SG1B,a1sg1b,Calm in late 40s,"haven_labelled,vctrs_vctr,double"
A1SG1C,a1sg1c,Calm in late 60s,"haven_labelled,vctrs_vctr,double"
A1SG1J,a1sg1j,Caring in late 20s,"haven_labelled,vctrs_vctr,double"
A1SG1K,a1sg1k,Caring in late 40s,"haven_labelled,vctrs_vctr,double"
A1SG1L,a1sg1l,Caring in late 60s,"haven_labelled,vctrs_vctr,double"
